ID,Title,First author,Authors,Year,Journal,Volume,Issue,Pages,PubMed ID,DOI,Study design,No. of Biomarkers,No. of Intake values,No. of Concentration values,No. of Reproducibility values,No. of Correlation values,No. of Metabolomic associations,No. of Cancer associations
748,Prediagnostic serum vitamin D and breast cancer,Hiatt,"Hiatt, R. A.; Krieger, N.; Lobaugh, B.; Drezner, M. K.; Vogelman, J. H.; Orentreich, N.",1998,J Natl Cancer Inst,90,6,461-463,9521171,,Nested case-control study,1,0,0,0,0,0,1
749,Serum levels of vitamin D metabolites and the subsequent risk of colon and rectal cancer in Finnish men,Tangrea,"Tangrea, J.; Helzlsouer, K.; Pietinen, P.; Taylor, P.; Hollis, B.; Virtamo, J.; Albanes, D.",1997,Cancer Causes Control,8,4,615-625,9242478,,Nested case-control study,2,0,0,0,0,0,2
750,Colon cancer and serum vitamin D metabolite levels 10-17 years prior to diagnosis,Braun,"Braun, M. M.; Helzlsouer, K. J.; Hollis, B. W.; Comstock, G. W.",1995,Am J Epidemiol,142,6,608-611,7653469,,Nested case-control study,2,0,0,0,0,0,2
751,Dietary antioxidants and the aetiology of pancreatic cancer: a cohort study using data from food diaries and biomarkers,Banim,"Banim, P. J.; Luben, R.; McTaggart, A.; Welch, A.; Wareham, N.; Khaw, K. T.; Hart, A. R.",2013,Gut,62,10,1489-1496,22826513,10.1136/gutjnl-2011-301908,Prospective cohort study,1,0,0,0,0,0,1
752,Prediagnostic plasma vitamin C levels and the subsequent risk of prostate cancer,Berndt,"Berndt, S. I.; Carter, H. B.; Landis, P. K.; Hallfrisch, J.; Rohrmann, S.; Metter, E. J.; Platz, E. A.",2005,Nutrition,21,6,686-690,15925292,10.1016/j.nut.2004.11.012,Prospective cohort study,1,0,0,0,0,0,1
753,Plasma and dietary vitamin C levels and risk of gastric cancer in the European Prospective Investigation into Cancer and Nutrition (EPIC-EURGAST),Jenab,"Jenab, M.; Riboli, E.; Ferrari, P.; Sabate, J.; Slimani, N.; Norat, T.; Friesen, M.; Tjonneland, A.; Olsen, A.; Overvad, K.; Boutron-Ruault, M. C.; Clavel-Chapelon, F.; Touvier, M.; Boeing, H.; Schulz, M.; Linseisen, J.; Nagel, G.; Trichopoulou, A.; Naska, A.; Oikonomou, E.; Krogh, V.; Panico, S.; Masala, G.; Sacerdote, C.; Tumino, R.; Peeters, P. H.; Numans, M. E.; Bueno-de-Mesquita, H. B.; Buchner, F. L.; Lund, E.; Pera, G.; Sanchez, C. N.; Sanchez, M. J.; Arriola, L.; Barricarte, A.; Quiros, J. R.; Hallmans, G.; Stenling, R.; Berglund, G.; Bingham, S.; Khaw, K. T.; Key, T.; Allen, N.; Carneiro, F.; Mahlke, U.; Del Giudice, G.; Palli, D.; Kaaks, R.; Gonzalez, C. A.",2006,Carcinogenesis,27,11,2250-2257,16774936,10.1093/carcin/bgl096,Nested case-control study,1,0,0,0,0,0,1
754,A prospective study of plasma ascorbic acid concentrations and breast cancer (United States),Wu,"Wu, K.; Helzlsouer, K. J.; Alberg, A. J.; Comstock, G. W.; Norkus, E. P.; Hoffman, S. C.",2000,Cancer Causes Control,11,3,279-283,10782662,,Nested case-control study,1,0,0,0,0,0,1
755,Prospective study of serum B vitamins levels and oesophageal and gastric cancers in China,Ren,"Ren, J.; Murphy, G.; Fan, J.; Dawsey, S. M.; Taylor, P. R.; Selhub, J.; Qiao, Y.; Abnet, C. C.",2016,Sci Rep,6,,35281,27748414,10.1038/srep35281,Case-cohort study,4,0,0,0,0,0,4
756,Prospective association between dietary folate intake and skin cancer risk: results from the Supplementation en Vitamines et Mineraux Antioxydants cohort,Donnenfeld,"Donnenfeld, M.; Deschasaux, M.; Latino-Martel, P.; Diallo, A.; Galan, P.; Hercberg, S.; Ezzedine, K.; Touvier, M.",2015,Am J Clin Nutr,102,2,471-478,26156743,10.3945/ajcn.115.109041,Prospective cohort study,1,0,0,0,0,0,1
758,Biomarkers of folate and vitamin B12 and breast cancer risk: report from the EPIC cohort,Matejcic,"Matejcic, M.; de Batlle, J.; Ricci, C.; Biessy, C.; Perrier, F.; Huybrechts, I.; Weiderpass, E.; Boutron-Ruault, M. C.; Cadeau, C.; His, M.; Cox, D. G.; Boeing, H.; Fortner, R. T.; Kaaks, R.; Lagiou, P.; Trichopoulou, A.; Benetou, V.; Tumino, R.; Panico, S.; Sieri, S.; Palli, D.; Ricceri, F.; Bueno-de-Mesquita, H. B.; Skeie, G.; Amiano, P.; Sanchez, M. J.; Chirlaque, M. D.; Barricarte, A.; Quiros, J. R.; Buckland, G.; van Gils, C. H.; Peeters, P. H.; Key, T. J.; Riboli, E.; Gylling, B.; Zeleniuch-Jacquotte, A.; Gunter, M. J.; Romieu, I.; Chajes, V.",2017,Int J Cancer,140,6,1246-1259,27905104,10.1002/ijc.30536,Nested case-control study,2,0,0,0,0,0,2
759,"Plasma Riboflavin and Vitamin B-6, but Not Homocysteine, Folate, or Vitamin B-12, Are Inversely Associated with Breast Cancer Risk in the European Prospective Investigation into Cancer and Nutrition-Varese Cohort",Agnoli,"Agnoli, C.; Grioni, S.; Krogh, V.; Pala, V.; Allione, A.; Matullo, G.; Di Gaetano, C.; Tagliabue, G.; Pedraglio, S.; Garrone, G.; Cancarini, I.; Cavalleri, A.; Sieri, S.",2016,J Nutr,146,6,1227-1234,27121532,10.3945/jn.115.225433,Nested case-control study,5,0,0,0,0,0,5
760,Red blood cell folate and plasma folate are not associated with risk of incident colorectal cancer in the Women's Health Initiative observational study,Neuhouser,"Neuhouser, M. L.; Cheng, T. Y.; Beresford, S. A.; Brown, E.; Song, X.; Miller, J. W.; Zheng, Y.; Thomson, C. A.; Shikany, J. M.; Vitolins, M. Z.; Rohan, T.; Green, R.; Ulrich, C. M.",2015,Int J Cancer,137,4,930-939,25643945,10.1002/ijc.29453,Nested case-control study,1,0,0,0,0,0,2
761,Plasma folate concentrations and colorectal cancer risk: a case-control study nested within the Shanghai Men's Health Study,Takata,"Takata, Y.; Shrubsole, M. J.; Li, H.; Cai, Q.; Gao, J.; Wagner, C.; Wu, J.; Zheng, W.; Xiang, Y. B.; Shu, X. O.",2014,Int J Cancer,135,9,2191-2198,24692023,10.1002/ijc.28871,Nested case-control study,1,0,0,0,0,0,1
762,"Alcohol consumption, one-carbon metabolites, liver cancer and liver disease mortality",Schwartz,"Schwartz, L. M.; Persson, E. C.; Weinstein, S. J.; Graubard, B. I.; Freedman, N. D.; Mannisto, S.; Albanes, D.; McGlynn, K. A.",2013,PLoS One,8,10,e78156,24205137,10.1371/journal.pone.0078156,Nested case-control study,5,0,0,0,0,0,5
763,Serum folate and vitamin B12 concentrations in relation to prostate cancer risk--a Norwegian population-based nested case-control study of 3000 cases and 3000 controls within the JANUS cohort,de Vogel,"de Vogel, S.; Meyer, K.; Fredriksen, A.; Ulvik, A.; Ueland, P. M.; Nygard, O.; Vollset, S. E.; Tell, G. S.; Tretli, S.; Bjorge, T.",2013,Int J Epidemiol,42,1,201-210,23508410,10.1093/ije/dys199,Nested case-control study,3,0,0,0,0,0,3
764,Prediagnostic levels of serum one-carbon metabolites and risk of hepatocellular carcinoma,Butler,"Butler, L. M.; Arning, E.; Wang, R.; Bottiglieri, T.; Govindarajan, S.; Gao, Y. T.; Yuan, J. M.",2013,Cancer Epidemiol Biomarkers Prev,22,10,1884-1893,23897582,10.1158/1055-9965.EPI-13-0497,Nested case-control study,2,0,0,0,0,0,2
765,Prediagnostic plasma pyridoxal 5'-phosphate (vitamin b6) levels and invasive breast carcinoma risk: the multiethnic cohort,Lurie,"Lurie, G.; Wilkens, L. R.; Shvetsov, Y. B.; Ollberding, N. J.; Franke, A. A.; Henderson, B. E.; Kolonel, L. N.; Goodman, M. T.",2012,Cancer Epidemiol Biomarkers Prev,21,11,1942-1948,22879204,10.1158/1055-9965.EPI-12-0717-T,Nested case-control study,1,0,0,0,0,0,1
766,A U-shaped relationship between plasma folate and pancreatic cancer risk in the European Prospective Investigation into Cancer and Nutrition,Chuang,"Chuang, S. C.; Stolzenberg-Solomon, R.; Ueland, P. M.; Vollset, S. E.; Midttun, O.; Olsen, A.; Tjonneland, A.; Overvad, K.; Boutron-Ruault, M. C.; Morois, S.; Clavel-Chapelon, F.; Teucher, B.; Kaaks, R.; Weikert, C.; Boeing, H.; Trichopoulou, A.; Benetou, V.; Naska, A.; Jenab, M.; Slimani, N.; Romieu, I.; Michaud, D. S.; Palli, D.; Sieri, S.; Panico, S.; Sacerdote, C.; Tumino, R.; Skeie, G.; Duell, E. J.; Rodriguez, L.; Molina-Montes, E.; Huerta, J. M.; Larranaga, N.; Gurrea, A. B.; Johansen, D.; Manjer, J.; Ye, W.; Sund, M.; Peeters, P. H.; Jeurnink, S.; Wareham, N.; Khaw, K. T.; Crowe, F.; Riboli, E.; Bueno-de-Mesquita, B.; Vineis, P.",2011,Eur J Cancer,47,12,1808-1816,21411310,10.1016/j.ejca.2011.02.007,Nested case-control study,4,0,0,0,0,0,4
767,Serum B vitamin levels and risk of lung cancer,Johansson,"Johansson, M.; Relton, C.; Ueland, P. M.; Vollset, S. E.; Midttun, O.; Nygard, O.; Slimani, N.; Boffetta, P.; Jenab, M.; Clavel-Chapelon, F.; Boutron-Ruault, M. C.; Fagherazzi, G.; Kaaks, R.; Rohrmann, S.; Boeing, H.; Weikert, C.; Bueno-de-Mesquita, H. B.; Ros, M. M.; van Gils, C. H.; Peeters, P. H.; Agudo, A.; Barricarte, A.; Navarro, C.; Rodriguez, L.; Sanchez, M. J.; Larranaga, N.; Khaw, K. T.; Wareham, N.; Allen, N. E.; Crowe, F.; Gallo, V.; Norat, T.; Krogh, V.; Masala, G.; Panico, S.; Sacerdote, C.; Tumino, R.; Trichopoulou, A.; Lagiou, P.; Trichopoulos, D.; Rasmuson, T.; Hallmans, G.; Riboli, E.; Vineis, P.; Brennan, P.",2010,JAMA,303,23,2377-2385,20551408,10.1001/jama.2010.808,Nested case-control study,5,0,0,0,0,0,5
768,"Plasma folate, related genetic variants, and colorectal cancer risk in EPIC",Eussen,"Eussen, S. J.; Vollset, S. E.; Igland, J.; Meyer, K.; Fredriksen, A.; Ueland, P. M.; Jenab, M.; Slimani, N.; Boffetta, P.; Overvad, K.; Tjonneland, A.; Olsen, A.; Clavel-Chapelon, F.; Boutron-Ruault, M. C.; Morois, S.; Weikert, C.; Pischon, T.; Linseisen, J.; Kaaks, R.; Trichopoulou, A.; Zilis, D.; Katsoulis, M.; Palli, D.; Berrino, F.; Vineis, P.; Tumino, R.; Panico, S.; Peeters, P. H.; Bueno-de-Mesquita, H. B.; van Duijnhoven, F. J.; Gram, I. T.; Skeie, G.; Lund, E.; Gonzalez, C. A.; Martinez, C.; Dorronsoro, M.; Ardanaz, E.; Navarro, C.; Rodriguez, L.; Van Guelpen, B.; Palmqvist, R.; Manjer, J.; Ericson, U.; Bingham, S.; Khaw, K. T.; Norat, T.; Riboli, E.",2010,Cancer Epidemiol Biomarkers Prev,19,5,1328-1340,20447924,10.1158/1055-9965.EPI-09-0841,Nested case-control study,2,0,0,0,0,0,1
769,Vitamins B2 and B6 and genetic polymorphisms related to one-carbon metabolism as risk factors for gastric adenocarcinoma in the European prospective investigation into cancer and nutrition,Eussen,"Eussen, S. J.; Vollset, S. E.; Hustad, S.; Midttun, O.; Meyer, K.; Fredriksen, A.; Ueland, P. M.; Jenab, M.; Slimani, N.; Ferrari, P.; Agudo, A.; Sala, N.; Capella, G.; Del Giudice, G.; Palli, D.; Boeing, H.; Weikert, C.; Bueno-de-Mesquita, H. B.; Buchner, F. L.; Carneiro, F.; Berrino, F.; Vineis, P.; Tumino, R.; Panico, S.; Berglund, G.; Manjer, J.; Stenling, R.; Hallmans, G.; Martinez, C.; Arrizola, L.; Barricarte, A.; Navarro, C.; Rodriguez, L.; Bingham, S.; Linseisen, J.; Kaaks, R.; Overvad, K.; Tjonneland, A.; Peeters, P. H.; Numans, M. E.; Clavel-Chapelon, F.; Boutron-Ruault, M. C.; Morois, S.; Trichopoulou, A.; Lund, E.; Plebani, M.; Riboli, E.; Gonzalez, C. A.",2010,Cancer Epidemiol Biomarkers Prev,19,1,28-38,20056620,10.1158/1055-9965.EPI-08-1096,Nested case-control study,7,0,0,0,0,0,7
770,Plasma folate concentrations are positively associated with risk of estrogen receptor beta negative breast cancer in a Swedish nested case control study,Ericson,"Ericson, U.; Borgquist, S.; Ivarsson, M. I.; Sonestedt, E.; Gullberg, B.; Carlson, J.; Olsson, H.; Jirstrom, K.; Wirfalt, E.",2010,J Nutr,140,9,1661-1668,20592103,10.3945/jn.110.124313,Nested case-control study,1,0,0,0,0,0,1
771,Dietary B vitamin and methionine intakes and plasma folate are not associated with colorectal cancer risk in Chinese women,Shrubsole,"Shrubsole, M. J.; Yang, G.; Gao, Y. T.; Chow, W. H.; Shu, X. O.; Cai, Q.; Rothman, N.; Gao, J.; Wagner, C.; Zheng, W.",2009,Cancer Epidemiol Biomarkers Prev,18,3,1003-1006,19240230,10.1158/1055-9965.EPI-08-1200,Nested case-control study,1,0,0,0,0,0,1
772,Prospective study of plasma vitamin B6 and risk of colorectal cancer in men,Lee,"Lee, J. E.; Li, H.; Giovannucci, E.; Lee, I. M.; Selhub, J.; Stampfer, M.; Ma, J.",2009,Cancer Epidemiol Biomarkers Prev,18,4,1197-1202,19336555,10.1158/1055-9965.EPI-08-1001,Nested case-control study,1,0,0,0,0,0,1
773,Plasma levels of B vitamins and colorectal cancer risk: the multiethnic cohort study,Le Marchand,"Le Marchand, L.; White, K. K.; Nomura, A. M.; Wilkens, L. R.; Selhub, J. S.; Tiirikainen, M.; Goodman, M. T.; Murphy, S. P.; Henderson, B. E.; Kolonel, L. N.",2009,Cancer Epidemiol Biomarkers Prev,18,8,2195-2201,19661077,10.1158/1055-9965.EPI-09-0141,Nested case-control study,5,0,0,0,0,0,5
774,One-carbon metabolism biomarkers and risk of colon and rectal cancers,Weinstein,"Weinstein, S. J.; Albanes, D.; Selhub, J.; Graubard, B.; Lim, U.; Taylor, P. R.; Virtamo, J.; Stolzenberg-Solomon, R.",2008,Cancer Epidemiol Biomarkers Prev,17,11,3233-3240,18990766,10.1158/1055-9965.EPI-08-0459,Nested case-control study,5,0,0,0,0,0,5
775,Plasma folate and risk of colorectal cancer in a nested case-control study: the Japan Public Health Center-based prospective study,Otani,"Otani, T.; Iwasaki, M.; Sasazuki, S.; Inoue, M.; Tsugane, S.",2008,Cancer Causes Control,19,1,67-74,17943453,10.1007/s10552-007-9071-z,Nested case-control study,1,0,0,0,0,0,1
776,"Plasma folate, vitamin B-6, vitamin B-12, and risk of breast cancer in women",Lin,"Lin, J.; Lee, I. M.; Cook, N. R.; Selhub, J.; Manson, J. E.; Buring, J. E.; Zhang, S. M.",2008,Am J Clin Nutr,87,3,734-743,18326613,10.1093/ajcn/87.3.734,Nested case-control study,3,0,0,0,0,0,3
777,Circulating concentrations of folate and vitamin B12 in relation to prostate cancer risk: results from the European Prospective Investigation into Cancer and Nutrition study,Johansson,"Johansson, M.; Appleby, P. N.; Allen, N. E.; Travis, R. C.; Roddam, A. W.; Egevad, L.; Jenab, M.; Rinaldi, S.; Kiemeney, L. A.; Bueno-de-Mesquita, H. B.; Vollset, S. E.; Ueland, P. M.; Sanchez, M. J.; Quiros, J. R.; Gonzalez, C. A.; Larranaga, N.; Chirlaque, M. D.; Ardanaz, E.; Sieri, S.; Palli, D.; Vineis, P.; Tumino, R.; Linseisen, J.; Kaaks, R.; Boeing, H.; Pischon, T.; Psaltopoulou, T.; Trichopoulou, A.; Trichopoulos, D.; Khaw, K. T.; Bingham, S.; Hallmans, G.; Riboli, E.; Stattin, P.; Key, T. J.",2008,Cancer Epidemiol Biomarkers Prev,17,2,279-285,18268110,10.1158/1055-9965.EPI-07-0657,Nested case-control study,2,0,0,0,0,0,2
778,"The association of gastric cancer risk with plasma folate, cobalamin, and methylenetetrahydrofolate reductase polymorphisms in the European Prospective Investigation into Cancer and Nutrition",Vollset,"Vollset, S. E.; Igland, J.; Jenab, M.; Fredriksen, A.; Meyer, K.; Eussen, S.; Gjessing, H. K.; Ueland, P. M.; Pera, G.; Sala, N.; Agudo, A.; Capella, G.; Del Giudice, G.; Palli, D.; Boeing, H.; Weikert, C.; Bueno-de-Mesquita, H. B.; Carneiro, F.; Pala, V.; Vineis, P.; Tumino, R.; Panico, S.; Berglund, G.; Manjer, J.; Stenling, R.; Hallmans, G.; Martinez, C.; Dorronsoro, M.; Barricarte, A.; Navarro, C.; Quiros, J. R.; Allen, N.; Key, T. J.; Bingham, S.; Linseisen, J.; Kaaks, R.; Overvad, K.; Tjonneland, A.; Buchner, F. L.; Peeters, P. H.; Numans, M. E.; Clavel-Chapelon, F.; Boutron-Ruault, M. C.; Trichopoulou, A.; Lund, E.; Slimani, N.; Ferrari, P.; Riboli, E.; Gonzalez, C. A.",2007,Cancer Epidemiol Biomarkers Prev,16,11,2416-2424,18006931,10.1158/1055-9965.EPI-07-0256,Nested case-control study,4,0,0,0,0,0,4
779,Plasma vitamin B6 and the risk of colorectal cancer and adenoma in women,Wei,"Wei, E. K.; Giovannucci, E.; Selhub, J.; Fuchs, C. S.; Hankinson, S. E.; Ma, J.",2005,J Natl Cancer Inst,97,9,684-692,15870439,10.1093/jnci/dji116,Nested case-control study,1,0,0,0,0,0,1
780,"Plasma folate, vitamin B6, vitamin B12, homocysteine, and risk of breast cancer",Zhang,"Zhang, S. M.; Willett, W. C.; Selhub, J.; Hunter, D. J.; Giovannucci, E. L.; Holmes, M. D.; Colditz, G. A.; Hankinson, S. E.",2003,J Natl Cancer Inst,95,5,373-380,12618502,,Nested case-control study,4,0,0,0,0,0,4
781,"Null association between prostate cancer and serum folate, vitamin B(6), vitamin B(12), and homocysteine",Weinstein,"Weinstein, S. J.; Hartman, T. J.; Stolzenberg-Solomon, R.; Pietinen, P.; Barrett, M. J.; Taylor, P. R.; Virtamo, J.; Albanes, D.",2003,Cancer Epidemiol Biomarkers Prev,12,11 Pt 1,1271-1272,14652294,,Nested case-control study,4,0,0,0,0,0,4
782,"Association of the B-vitamins pyridoxal 5'-phosphate (B(6)), B(12), and folate with lung cancer risk in older men",Hartman,"Hartman, T. J.; Woodson, K.; Stolzenberg-Solomon, R.; Virtamo, J.; Selhub, J.; Barrett, M. J.; Albanes, D.",2001,Am J Epidemiol,153,7,688-694,11282797,,Nested case-control study,4,0,0,0,0,0,4
783,"The risk of cervical cancer in relation to serum concentrations of folate, vitamin B12, and homocysteine",Alberg,"Alberg, A. J.; Selhub, J.; Shah, K. V.; Viscidi, R. P.; Comstock, G. W.; Helzlsouer, K. J.",2000,Cancer Epidemiol Biomarkers Prev,9,7,761-764,10919749,,Nested case-control study,3,0,0,0,0,0,3
784,Pancreatic cancer risk and nutrition-related methyl-group availability indicators in male smokers,Stolzenberg-Solomon,"Stolzenberg-Solomon, R. Z.; Albanes, D.; Nieto, F. J.; Hartman, T. J.; Tangrea, J. A.; Rautalahti, M.; Sehlub, J.; Virtamo, J.; Taylor, P. R.",1999,J Natl Cancer Inst,91,6,535-541,10088624,,Nested case-control study,4,0,0,0,0,0,4
785,"Serum folate, homocysteine and colorectal cancer risk in women: a nested case-control study",Kato,"Kato, I.; Dnistrian, A. M.; Schwartz, M.; Toniolo, P.; Koenig, K.; Shore, R. E.; Akhmedkhanov, A.; Zeleniuch-Jacquotte, A.; Riboli, E.",1999,Br J Cancer,79,11-12,1917-1922,10206314,10.1038/sj.bjc.6690305,Nested case-control study,2,0,0,0,0,0,2
786,Colorectal cancer and folate status: a nested case-control study among male smokers,Glynn,"Glynn, S. A.; Albanes, D.; Pietinen, P.; Brown, C. C.; Rautalahti, M.; Tangrea, J. A.; Gunter, E. W.; Barrett, M. J.; Virtamo, J.; Taylor, P. R.",1996,Cancer Epidemiol Biomarkers Prev,5,7,487-494,8827351,,Nested case-control study,1,0,0,0,0,0,1
787,One-carbon metabolism and prostate cancer risk: prospective investigation of seven circulating B vitamins and metabolites,Johansson,"Johansson, M.; Van Guelpen, B.; Vollset, S. E.; Hultdin, J.; Bergh, A.; Key, T.; Midttun, O.; Hallmans, G.; Ueland, P. M.; Stattin, P.",2009,Cancer Epidemiol Biomarkers Prev,18,5,1538-1543,19423531,10.1158/1055-9965.EPI-08-1193,Nested case-control study,3,0,0,0,0,0,3
788,"Plasma folate, vitamin B12, and homocysteine and prostate cancer risk: a prospective study",Hultdin,"Hultdin, J.; Van Guelpen, B.; Bergh, A.; Hallmans, G.; Stattin, P.",2005,Int J Cancer,113,5,819-824,15499634,10.1002/ijc.20646,Nested case-control study,3,0,0,0,0,0,3
789,Untangling the role of one-carbon metabolism in colorectal cancer risk: a comprehensive Bayesian network analysis,Myte,"Myte, R.; Gylling, B.; Haggstrom, J.; Schneede, J.; Magne Ueland, P.; Hallmans, G.; Johansson, I.; Palmqvist, R.; Van Guelpen, B.",2017,Sci Rep,7,,43434,28233834,10.1038/srep43434,Nested case-control study,5,0,0,0,0,0,5
790,Vitamin B-6 and colorectal cancer risk: a prospective population-based study using 3 distinct plasma markers of vitamin B-6 status,Gylling,"Gylling, B.; Myte, R.; Schneede, J.; Hallmans, G.; Haggstrom, J.; Johansson, I.; Ulvik, A.; Ueland, P. M.; Van Guelpen, B.; Palmqvist, R.",2017,Am J Clin Nutr,105,4,897-904,28275126,10.3945/ajcn.116.139337,Nested case-control study,2,0,0,0,0,0,2
791,Low folate levels are associated with reduced risk of colorectal cancer in a population with low folate status,Gylling,"Gylling, B.; Van Guelpen, B.; Schneede, J.; Hultdin, J.; Ueland, P. M.; Hallmans, G.; Johansson, I.; Palmqvist, R.",2014,Cancer Epidemiol Biomarkers Prev,23,10,2136-2144,25063522,10.1158/1055-9965.EPI-13-1352,Nested case-control study,3,0,0,0,0,0,3
792,Plasma vitamin B12 concentrations and the risk of colorectal cancer: a nested case-referent study,Dahlin,"Dahlin, A. M.; Van Guelpen, B.; Hultdin, J.; Johansson, I.; Hallmans, G.; Palmqvist, R.",2008,Int J Cancer,122,9,2057-2061,18092327,10.1002/ijc.23299,Nested case-control study,3,0,0,0,0,0,3
793,Low folate levels may protect against colorectal cancer,Van Guelpen,"Van Guelpen, B.; Hultdin, J.; Johansson, I.; Hallmans, G.; Stenling, R.; Riboli, E.; Winkvist, A.; Palmqvist, R.",2006,Gut,55,10,1461-1466,16638790,10.1136/gut.2005.085480,Nested case-control study,2,0,0,0,0,0,2
794,"Carotenoids, alpha-tocopherols, and retinol in plasma and breast cancer risk in northern Sweden",Hulten,"Hulten, K.; Van Kappel, A. L.; Winkvist, A.; Kaaks, R.; Hallmans, G.; Lenner, P.; Riboli, E.",2001,Cancer Causes Control,12,6,529-537,11519761,,Nested case-control study,8,0,0,0,0,0,8
795,Circulating 25-hydroxyvitamin D and risk of epithelial ovarian cancer: Cohort Consortium Vitamin D Pooling Project of Rarer Cancers,Zheng,"Zheng, W.; Danforth, K. N.; Tworoger, S. S.; Goodman, M. T.; Arslan, A. A.; Patel, A. V.; McCullough, M. L.; Weinstein, S. J.; Kolonel, L. N.; Purdue, M. P.; Shu, X. O.; Snyder, K.; Steplowski, E.; Visvanathan, K.; Yu, K.; Zeleniuch-Jacquotte, A.; Gao, Y. T.; Hankinson, S. E.; Harvey, C.; Hayes, R. B.; Henderson, B. E.; Horst, R. L.; Helzlsouer, K. J.",2010,Am J Epidemiol,172,1,70-80,20562186,10.1093/aje/kwq118,Nested case-control study,1,0,0,0,0,0,1
796,Circulating 25-hydroxyvitamin D and risk of endometrial cancer: Cohort Consortium Vitamin D Pooling Project of Rarer Cancers,Zeleniuch-Jacquotte,"Zeleniuch-Jacquotte, A.; Gallicchio, L.; Hartmuller, V.; Helzlsouer, K. J.; McCullough, M. L.; Setiawan, V. W.; Shu, X. O.; Weinstein, S. J.; Weiss, J. M.; Arslan, A. A.; De Vivo, I.; Gao, Y. T.; Hayes, R. B.; Henderson, B. E.; Horst, R. L.; Koenig, K. L.; Patel, A. V.; Purdue, M. P.; Snyder, K.; Steplowski, E.; Yu, K.; Zheng, W.; Hankinson, S. E.",2010,Am J Epidemiol,172,1,36-46,20562189,10.1093/aje/kwq114,Nested case-control study,1,0,0,0,0,0,1
797,Circulating 25-hydroxyvitamin D and risk of pancreatic cancer: Cohort Consortium Vitamin D Pooling Project of Rarer Cancers,Stolzenberg-Solomon,"Stolzenberg-Solomon, R. Z.; Jacobs, E. J.; Arslan, A. A.; Qi, D.; Patel, A. V.; Helzlsouer, K. J.; Weinstein, S. J.; McCullough, M. L.; Purdue, M. P.; Shu, X. O.; Snyder, K.; Virtamo, J.; Wilkins, L. R.; Yu, K.; Zeleniuch-Jacquotte, A.; Zheng, W.; Albanes, D.; Cai, Q.; Harvey, C.; Hayes, R.; Clipp, S.; Horst, R. L.; Irish, L.; Koenig, K.; Le Marchand, L.; Kolonel, L. N.",2010,Am J Epidemiol,172,1,81-93,20562185,10.1093/aje/kwq120,Nested case-control study,1,0,0,0,0,0,1
798,Circulating 25-hydroxyvitamin D and risk of non-hodgkin lymphoma: Cohort Consortium Vitamin D Pooling Project of Rarer Cancers,Purdue,"Purdue, M. P.; Freedman, D. M.; Gapstur, S. M.; Helzlsouer, K. J.; Laden, F.; Lim, U.; Maskarinec, G.; Rothman, N.; Shu, X. O.; Stevens, V. L.; Zeleniuch-Jacquotte, A.; Albanes, D.; Bertrand, K.; Weinstein, S. J.; Yu, K.; Irish, L.; Horst, R. L.; Hoffman-Bolton, J.; Giovannucci, E. L.; Kolonel, L. N.; Snyder, K.; Willett, W.; Arslan, A. A.; Hayes, R. B.; Zheng, W.; Xiang, Y. B.; Hartge, P.",2010,Am J Epidemiol,172,1,58-69,20562184,10.1093/aje/kwq117,Nested case-control study,1,0,0,0,0,0,1
799,Circulating 25-hydroxyvitamin D and risk of kidney cancer: Cohort Consortium Vitamin D Pooling Project of Rarer Cancers,Gallicchio,"Gallicchio, L.; Moore, L. E.; Stevens, V. L.; Ahn, J.; Albanes, D.; Hartmuller, V.; Setiawan, V. W.; Helzlsouer, K. J.; Yang, G.; Xiang, Y. B.; Shu, X. O.; Snyder, K.; Weinstein, S. J.; Yu, K.; Zeleniuch-Jacquotte, A.; Zheng, W.; Cai, Q.; Campbell, D. S.; Chen, Y.; Chow, W. H.; Horst, R. L.; Kolonel, L. N.; McCullough, M. L.; Purdue, M. P.; Koenig, K. L.",2010,Am J Epidemiol,172,1,47-57,20562187,10.1093/aje/kwq115,Nested case-control study,1,0,0,0,0,0,1
800,Circulating 25-hydroxyvitamin D and risk of esophageal and gastric cancer: Cohort Consortium Vitamin D Pooling Project of Rarer Cancers,Abnet,"Abnet, C. C.; Chen, Y.; Chow, W. H.; Gao, Y. T.; Helzlsouer, K. J.; Le Marchand, L.; McCullough, M. L.; Shikany, J. M.; Virtamo, J.; Weinstein, S. J.; Xiang, Y. B.; Yu, K.; Zheng, W.; Albanes, D.; Arslan, A. A.; Campbell, D. S.; Campbell, P. T.; Hayes, R. B.; Horst, R. L.; Kolonel, L. N.; Nomura, A. M.; Purdue, M. P.; Snyder, K.; Shu, X. O.",2010,Am J Epidemiol,172,1,94-106,20562192,10.1093/aje/kwq121,Nested case-control study,1,0,0,0,0,0,1
