"","accession","route_of_exposure"
"2511","T3D2849","75%for50mg"
"2512","T3D2849","37%for100mg"
"2513","T3D2850","intravenous"
"2514","T3D2850","oralwellabsorbedfromthegastro-intestinaltract"
"2515","T3D2851","parenteraloral"
"2516","T3D2852","rapidlyalmostcompletelyabsorbedfollowingoraladministrationfoodmaydecreasetherateextentofabsorption"
"2517","T3D2853","theabsolutebioavailabilityofacamprosateafteroraladministrationisabout11%thefoodeffectonabsorptionisnotclinicallysignificantnoadjustmentofdoseisnecessary"
"2518","T3D2855","rapidlyabsorbedintothesystemiccirculationafterintranasaladministrationbioavailabilityfroma400&micro"
"2519","T3D2855","gdoseaveraged28%notabsorbedafteroraladministration"
"2520","T3D2856","subcutaneous"
"2521","T3D2856","oral"
"2522","T3D2856","nasal"
"2523","T3D2856","transdermal"
"2524","T3D2857","oral"
"2525","T3D2858","oral"
"2526","T3D2859","rapidlyabsorbedafteroraladministrationtheabsolutebioavailabilityofthemidazolamsyrupinpediatricpatientsisabout36%theabsolutebioavailability"
"2527","T3D2859","ifgivenintramuscularly"
"2528","T3D2859","isgreaterthan90%cmax"
"2529","T3D2859","im=90ng/ml"
"2530","T3D2859","tmax"
"2531","T3D2859","im=05hoursfollowingimadministered"
"2532","T3D2859","cmaxformidazolamits1-hydroxymetabolitewereapproxiatelyone-halfofthoseachievedafterintravenousinjection"
"2533","T3D2860","oralflurazepamhydrochlorideisrapidlyabsorbedfromthegastrointestinaltract"
"2534","T3D2861","intravenous"
"2535","T3D2862","oral"
"2536","T3D2863","rapidlyabsorbedafteroraladministrationinhiv-1-infectedpatientswithatimetopeakconcentrationtypicallybetween12hoursafterasingleoraldosetheabsoluteoralbioavailabilityofamprenavirinhumanshasnotbeenestablished"
"2537","T3D2864","althoughwellabsorbedorally"
"2538","T3D2864","naltrexoneissubjecttosignificantfirstpassmetabolismwithoralbioavailabilityestimatesrangingfrom5to40%"
"2539","T3D2865","epidural"
"2540","T3D2865","parenteral"
"2541","T3D2866","fluribiprofenisrapidlyalmostcompletelyabsorbedfollowingoraladministrationpeakplasmaconcentrationsarereached05-4hoursafteroraladministration"
"2542","T3D2867","100%followingsubcutaneousadministration"
"2543","T3D2868","paroxetinehydrochlorideisslowly"
"2544","T3D2868","butcompletelyabsorbedfollowingoraladministrationparoxetinemesylatesaltisalsocompletelyabsorbedafteroraldosingtheoralbioavailabilityappearstobelowduetoextensivefirst-passmetabolismparoxetinehydrochlorideoraltabletssuspensionarereportedlybioequivalentabsorptionofeithersaltformisnotsubstantiallyaffectedbyfoodpeakconcentrationsofbrisbellewas237hr*ng/mlparoxetinemesylategenerallyfollowsnon-linearpharmacokineticsbecausecyp2d6"
"2545","T3D2868","theenzymethatispartresponisibleforparoxetinemetabolism"
"2546","T3D2868","isreadilysaturable"
"2547","T3D2869","oral"
"2548","T3D2869","infiltration"
"2549","T3D2869","intramuscular"
"2550","T3D2870","oralrapidabsorption"
"2551","T3D2871","wellabsorbedtheabsoluteoralbioavailabilityofrisperidoneis70%whencomparedtoasolution"
"2552","T3D2873","oral"
"2553","T3D2874","oralwellabsorbed"
"2554","T3D2875","riluzoleiswell-absorbedahighfatmealdecreasesabsorption"
"2555","T3D2875","reducingaucbyabout20%peakbloodlevelsbyabout45%"
"2556","T3D2876","rapidfollowingoraladministration"
"2557","T3D2877","parental"
"2558","T3D2877","oral"
"2559","T3D2881","interindividualvariabilityinabsorptionmaybebiphasicinsomeindividualspeakplasmaconcentrationsoccurinonehourfollowingoraladministrationwithasecondarypeakoccurringwithin2-3hoursbiphasicabsorptionmayrepresentdifferentratesofabsorptionofthestereoisomersofthedrug"
"2560","T3D2881","thoughadditionalstudiesarerequiredtoconfirmthis"
"2561","T3D2882","inhalation"
"2562","T3D2883","fairlyrapidlyabsorbed"
"2563","T3D2883","however"
"2564","T3D2883","theextentoforalabsorptionisnotknown"
"2565","T3D2884","1-31%"
"2566","T3D2886","ophthalmicuseofolopatadineusuallydoesnotproducemeasurableplasmaconcentrations"
"2567","T3D2887","completelyabsorbedfollowingoraladministrationfoodhasnoeffectontherateextentofabsorptionofoxcarbazepineaftersingle-doseadministrationoftrileptaltabletstohealthymalevolunteersunderfastedconditions"
"2568","T3D2887","themediantmaxwas45hoursaftersingle-doseadministrationoftrileptaloralsuspensiontohealthymalevolunteersunderfastedconditions"
"2569","T3D2887","themediantmaxwassixhourssteady-stateplasmaconcentrationsofmhdarereachedwithin2-3daysinpatientswhentrileptalisgiventwiceaday"
"2570","T3D2888",NA
"2571","T3D2889","readilyabsorbedafteroraladministration"
"2572","T3D2892","oral"
"2573","T3D2893","oral"
"2574","T3D2894","forintravenousinjectionorinfusiononly"
"2575","T3D2896","topical"
"2576","T3D2897","oral"
"2577","T3D2898","epidural"
"2578","T3D2898","parental"
"2579","T3D2899","oralabsolutebioavailability=89%"
"2580","T3D2900","rapid-timetoonsetofunconsciousnessis15-30seconds"
"2581","T3D2900","duetorapiddistributionfromplasmatothecnsdistributionissorapidthatpeakplasmaconcentrationscannotbereadilymeasureddurationofactionis5-10minutesparenteral"
"2582","T3D2903","parenteralessentiallycomplete"
"2583","T3D2903","withabioavailabilityof93%"
"2584","T3D2904","readilyabsorbedfromthegastro-intestinaltractbuccalmucosa"
"2585","T3D2905","oral"
"2586","T3D2907","oraltheabsolutebioavailabilityofa20mgoraldoseis69%"
"2587","T3D2908","wellabsorbedwithabioavailabilityof60%"
"2588","T3D2909","wellabsorbedfromthegastrointestinaltractfollowingoraladministrationhoweverisabsorbedataslowerratecomparedtootherbenzodiazepineslikediazepamorflurazepamtimetopeakconcentration=2-4hoursonsetofactionisslow"
"2589","T3D2909",">3hours"
"2590","T3D2909","followingoraladministration"
"2591","T3D2910","donepeziliswellabsorbedwitharelativeoralbioavailabilityof100%reachespeakplasmaconcentrationsin3to4hours"
"2592","T3D2911","intravenousthemeanabsolutebioavailabilitywas81%83%forthe1020mgintramusculardoses"
"2593","T3D2911","respectively"
"2594","T3D2911","79%76%following1020mgofsubcutaneousnalbuphine"
"2595","T3D2913","absolutebioavailabilityis40%followingoraladministration"
"2596","T3D2914","subcutaneous"
"2597","T3D2914","intravenous"
"2598","T3D2914","orintramuscularinjection"
"2599","T3D2914","orallevorphanoliswellabsorbedafterpoadministrationwithpeakplasmaconcentrationsoccurringapproximately1hourafterdosing"
"2600","T3D2917","wellabsorbedfollowingparenteraladministration"
"2601","T3D2918","rapidlycompletelyabsorbedfollowingoraladministration"
"2602","T3D2918","withabioavailabilityof80-90%peakplasmaconcentrationsareachieved2-3hoursfollowingoraladministration"
"2603","T3D2919","oralreadilyabsorbedfromthegastro-intestinaltractbuccalmucosaitisresistanttometabolismbymonoamineoxidase"
"2604","T3D2920","fairlyslowincompleteafteroraladministration"
"2605","T3D2921","oral"
"2606","T3D2924","wellabsorbedinthedigestivetract"
"2607","T3D2925","ondansetroniswellabsorbedafteroraladministrationundergoeslimitedfirst-passmetabolism"
"2608","T3D2926","oraltiagabineisnearlycompletelyabsorbed"
"2609","T3D2927","cocaineisabsorbedfromallsitesofapplication"
"2610","T3D2927","includingmucousmembranesgastrointestinalmucosabyoralorintra-nasalroute"
"2611","T3D2927","60to80%ofcocaineisabsorbed"
"2612","T3D2928","oralvariable"
"2613","T3D2928","yetrelativelyrapidrateofabsorptionwithatimetopeakconcentrationof28-39hoursfoodhasnoeffectonthebioavailabilityofzonisamide"
"2614","T3D2929","anileridineisabsorbedbyallroutesofadministration"
"2615","T3D2931","oral"
"2616","T3D2932","31%bioavailabilityhowbuprenorphineisformulateddoesnotaffectthispharmacokineticparameteritalsoundergoesextensivefirst-passmetabolismasaconsequence"
"2617","T3D2932","hasveryloworalbioavailabilitycoadministrationwithnaloxonedoesnoteffectthepharmacokineticsofbuprenorphine"
"2618","T3D2933","oral"
"2619","T3D2933","intramuscularinjectionwellabsorbedfromthegastrointestinaltract"
"2620","T3D2934","slowly"
"2621","T3D2934","butcompletelyabsorbedfromthegitractfollowingoraladministration"
"2622","T3D2935","diethylpropionisrapidlyabsorbedfromthegitractafteroraladministration"
"2623","T3D2936","absorptionisgenerallyrapidcompletefollowingoraladministrationbutmayvaryaccordingtospecificsalicylateused"
"2624","T3D2936","dosageform"
"2625","T3D2936","otherfactorssuchastabletdissolutionrategastricorintraluminalph"
"2626","T3D2937","oral>90%"
"2627","T3D2938","oral33%"
"2628","T3D2939","wellabsorbed"
"2629","T3D2939","absorptionisrapidwithpeakplasmaconcentrationsafter2-5hourstherateofabsorptionisslowerduringamigraineattack"
"2630","T3D2940","rapidfollowingoraladministrationbioavailabilityis45%foodhasnoeffectonthebioavailabilityofrizatriptanhowever"
"2631","T3D2940","administeringrizatriptanwithfoodwilldelayby1hourthetimetoreachpeakplasmaconcentrationtherateofabsorptionisnotaffectedbythepresenceofamigraineattack"
"2632","T3D2941","oralwellabsorbedfromthegastrointestinaltract"
"2633","T3D2942","absorbedlocallytherateofsystemicabsorptionoflocalanestheticsisdependentuponthetotaldoseconcentrationofdrugadministered"
"2634","T3D2942","therouteofadministration"
"2635","T3D2942","thevascularityoftheadministrationsite"
"2636","T3D2942","thepresenceorabsenceofepinephrineintheanestheticsolutionsubcutaneous"
"2637","T3D2942","injection"
"2638","T3D2942","infiltration"
"2639","T3D2951","eyecontact"
"2640","T3D2951","topicalpoorlyabsorbedfromthenormalgastrointestinaltractalthoughonlyapproximately3%ofneomycinisabsorbedthroughintactintestinalmucosa"
"2641","T3D2951","significantamountsmaybeabsorbedthroughulceratedordenudedmucosaorifinflammationispresent"
"2642","T3D2952","oralrapidabsorbedinpartbythel-aminoacidtransportsystem"
"2643","T3D2952","whichisacarrier-mediated"
"2644","T3D2952","saturabletransportsystem"
"2645","T3D2952","asthedoseincreases"
"2646","T3D2952","bioavailabilitydecreasesbioavailabilityrangesfromapproximately60%fora900mgdoseperdaytoapproximately27%fora4800milligramdoseperdayfoodhasaslighteffectontherateextentofabsorptionofgabapentin"
"2647","T3D2953","parenteral"
"2648","T3D2954","frovatriptanisrapidlyabsorbedfromtheduodenum"
"2649","T3D2954","buthasloworalbioavailability"
"2650","T3D2955","theplasmaconcentrationoflevobupivacainefollowingtherapeuticadministrationdependsondosealsoonrouteofadministration"
"2651","T3D2955","becauseabsorptionfromthesiteofadministrationisaffectedbythevascularityofthetissuepeaklevelsinbloodwerereachedapproximately30minutesafterepiduraladministration"
"2652","T3D2955","dosesupto150mgresultedinmeanc<sub>max</sub>levelsofupto12ug/ml"
"2653","T3D2956","systemicabsorptionfollowingasingleintravaginalapplicationoftioconazoleinnonpregnantpatientsisnegligible"
"2654","T3D2957","orallowvariable"
"2655","T3D2957","intactbalsalazideispoorlyabsorbedsystemically"
"2656","T3D2958","oral"
"2657","T3D2959","subcutaneous"
"2658","T3D2959","intramuscular"
"2659","T3D2959","intravenousinjectionoralphylloquinoneisadequatelyabsorbedfromthegastrointestinaltractonlyifbilesaltsarepresentafterabsorption"
"2660","T3D2959","phylloquinoneisinitiallyconcentratedintheliver"
"2661","T3D2959","buttheconcentrationdeclinesrapidlyverylittlevitaminkaccumulatesintissues"
"2662","T3D2960","bioavailabilityfollowingoraladministrationofmyforticdelayed-releasetabletrangesfrom70-95%"
"2663","T3D2961","oral"
"2664","T3D2962","oral"
"2665","T3D2963","rapidlyabsorbedfollowingoraladministration"
"2666","T3D2964",NA
"2667","T3D2965","oralrapidlyabsorbedfromthegastrointestinaltract"
"2668","T3D2966",NA
"2669","T3D2967","wellabsorbedorallywithabioavailabilityofapproximately100%peakplasmaconcentrationsarereachedin3-7hoursfoodhasnoeffectonabsorption"
"2670","T3D2968","ophthalmicwellabsorbedfromthegastrointestinaltractafteroraladministrationwithabsolutebioavailabilityofgatifloxacinis96%"
"2671","T3D2969","oralwellabsorbedfromgastrointestinaltract"
"2672","T3D2970","oral~80%absorbedfromgitract<p>timetoreachpeakplasmaconcentration=47minutes</p>"
"2673","T3D2972","theabsorptionbioavailabilityofmelatoninvarieswidely"
"2674","T3D2973","clonazepamisrapidlycompletelyabsorbedafteroraladministrationtheabsolutebioavailabilityofclonazepamisabout90%cmax"
"2675","T3D2973","oraladministration=1-4hours"
"2676","T3D2974","oral"
"2677","T3D2975","wellabsorbedfromthegastrointestinaltractfollowingoraladministration"
"2678","T3D2976","oral"
"2679","T3D2976","topical"
"2680","T3D2976","parenteralquicklyabsorbedwithmaximumactivityoccurringinapproximatelyonehour"
"2681","T3D2977","rapidlyabsorbedfollowingoraladministration"
"2682","T3D2977","absorptioniscomparablebetweenneonates"
"2683","T3D2977","infants"
"2684","T3D2977","childrencmax"
"2685","T3D2977","50mg/kgdose"
"2686","T3D2977","neonates=14mg/l"
"2687","T3D2977","tmax"
"2689","T3D2977","neonates=21hours"
"2690","T3D2977","however"
"2691","T3D2977","extentofabsorptionishighereliminationhalflifeislongerinneonatescomparedtochildreninfantsthisisbecauseneonateshavereducedrenalfunctioncomparedtotheaforementionedpopulationgroupsauc"
"2693","T3D2977","neonates=1426&#177"
"2694","T3D2977","440mg/l/hr"
"2695","T3D2977","foodmayslightlydecreasetherate"
"2696","T3D2977","butnottheextentofabsorptionfurthermore"
"2697","T3D2977","vigabatrindoesnotcrosstheblood-brain-barrierwell"
"2698","T3D2977","thushighdosesareneeded"
"2699","T3D2978","oral90%"
"2700","T3D2979","oral"
"2701","T3D2979","eyecontacttherewasadecreaseintherateofabsorptionofpilocarpinefromsalagentabletswhentakenwithahighfatmealby12healthymalevolunteers"
"2702","T3D2980","topical"
"2703","T3D2980","oral"
"2704","T3D2982","topical"
"2705","T3D2982","parenteralreadilyrapidlyabsorbedfollowingadministrationbyallroutesdistributedthroughoutthebody"
"2706","T3D2983","rapidlyvirtuallycompletelyabsorbedfollowingoraladministrationbioavailability78%to89%"
"2707","T3D2984","greaterthan50%absorptionafteroraladministrationserumpeakappears6-8hourspostingestion"
"2708","T3D2985","theeffectsoffoodonthebioavailabilityofthesertralinetabletoralconcentratewerestudiedinsubjectsadministeredasingledosewithwithoutfoodforthetablet"
"2709","T3D2985","aucwasslightlyincreasedwhendrugwasadministeredwithfoodbutthecmaxwas25%greater"
"2710","T3D2985","whilethetimetoreachpeakplasmaconcentrationdecreasedfrom8hourspost-dosingto55hoursfortheoralconcentrate"
"2711","T3D2985","tmaxwasslightlyprolongedfrom59hoursto70hourswithfood"
"2712","T3D2986","rapidabsorptionfollowingoraladministrationabsolutebioavailabilityisnotknown"
"2713","T3D2986","butatleast77%ofasingleoraldoseofsibutramineisabsorbed"
"2714","T3D2987",NA
"2715","T3D2988","topical"
"2716","T3D2989","wellabsorbedinthegastrointestinaltract"
"2717","T3D2990","almostcompletelyabsorbed"
"2718","T3D2991","oral-poorlyabsorbedfromthegastrointestinaltract"
"2719","T3D2992","aftertopicalapplicationtotheskinofnormalsubjects"
"2720","T3D2992","systemicabsorptionofeconazolenitrateisextremelylowalthoughmostoftheapplieddrugremainsontheskinsurface"
"2721","T3D2992","drugconcentrationswerefoundinthestratumcorneumwhich"
"2722","T3D2992","byfar"
"2723","T3D2992","exceededtheminimuminhibitoryconcentrationfordermatophytes"
"2724","T3D2993","well-absorbedfromthegitractpeakplasmaconcentrationsoccurwithin2hoursoforaladministration"
"2725","T3D2995","nefazodoneisrapidlycompletelyabsorbeditsabsolutebioavailabilityislow"
"2726","T3D2996","desipraminehydrochlorideisrapidlyalmostcompletelyabsorbedfromthegastrointestinaltractitundergoesextensivefirst-passmetabolismpeakplasmaconcentrationsareattained4-6hoursfollowingoraladministration"
"2727","T3D2997","bioavailabilityisnegligible"
"2728","T3D2999","forsustainedrelease"
"2729","T3D2999","peakplasmaconcentrationsareachievedwithin3hours"
"2730","T3D3000","intravenousinjection"
"2731","T3D3001","inhalation"
"2732","T3D3003","parenteraltherateofsystemicabsorptionoflocalanestheticdrugsisdependentuponthetotaldoseconcentrationofdrugadministered"
"2733","T3D3003","therouteofadministration"
"2734","T3D3003","thevascularityoftheadministrationsite"
"2735","T3D3003","thepresenceorabsenceofepinephrineintheanestheticinjection"
"2736","T3D3004","wellabsorbedfromthegastrointestinaltractthepresenceoffoodreducestheratebutnottheextentofabsorptionhepaticfirstpassmetabolismreducesbioavailabilityto45-70%followingadministrationofasingledose"
"2737","T3D3004","butincreasesto80%withmultipledosingasaresultofsaturationofthefirstpasseffectpeakplasmaconcentrationsarereachedwithin1-2hoursfollowingoraladministration"
"2738","T3D3005","orphenadrineisalmostcompletelyabsorbedinthegastrointestinaltract"
"2739","T3D3006","absorbedinvaryingdegreesfollowingoral"
"2740","T3D3006","rectalorparenteraladministrationthesaltsaremorerapidlyabsorbedthanaretheacidstherateofabsorptionisincreasedifthesodiumsaltisingestedasadilutesolutionortakenonanemptystomach"
"2741","T3D3007","theabsolutebioavailabilityofcitalopramisabout80%relativetoanintravenousdose"
"2742","T3D3009",NA
"2743","T3D3010","oralabsorptionislessthan44%"
"2744","T3D3011","oral"
"2745","T3D3012","rapidlyabsorbedafteroraladministrationmeanabsorptionofciclopiroxafterapplicationtonailsofalltwentydigitsadjacent5millimetersofskinoncedailyfor6monthsinpatientswithdermatophyticonychomycoseswaslessthan5%oftheapplieddoseciclopiroxolaminealsopenetratesintohairthroughtheepidermishairfolliclesintosebaceousglsdermis"
"2746","T3D3013","rapidlyabsorbedintothecirculationviathelungsfollowinginhalation"
"2747","T3D3014","well-absorbedfromthegastrointestinaltract"
"2748","T3D3015","enteral"
"2749","T3D3016","rapidlyabsorbedfollowingoraladministration"
"2750","T3D3017","oralapproximately28%oftheoraldoseisabsorbed"
"2751","T3D3017","howeverduetoasubstantialfirstpasseffect"
"2752","T3D3017","only6%oftheoraldosereachesthesystemiccirculationunchangedbromocriptineitsmetabolitesappearinthebloodasearlyas10minutesfollowingoraladministrationpeakplasmaconcentrationarereachedwithin1-15hoursserumprolactinmaybedecreasedwithin2hoursororaladministrationwithamaximaleffectachievedafter8hoursgrowthhormoneconcentrationsinpatientswithacromegalyisreducedwithin1-2hourswithasingleoraldoseof25mgdecreasedgrowthhormoneconcentrationspersistforatleast4-5hours"
"2753","T3D3018","rapidlywellabsorbedfromthegastrointestinaltract"
"2754","T3D3019","rapidlyalmostcompletelyabsorbedafteroraladministrationpeakplasmaconcentrationsoccurringinaboutanhourfollowingoraladministrationinfastedsubjects"
"2755","T3D3020","intravenousinjectionpoorlyabsorbedfollowingoraladministration"
"2756","T3D3021","rapidlyabsorbedafteroraladministration"
"2757","T3D3023","tabletshavebeenfoundtobeequivalentinabsorptiontoanorallyadministeredsolutionofestazolaminhealthysubjectswhoreceiveduptothreetimestherecommendeddose"
"2758","T3D3023","peakestazolamplasmaconcentrationsoccurredwithintwohoursafterdosingwereproportionaltotheadministereddose"
"2759","T3D3023","suggestinglinearpharmacokineticsoverthedosagerangetested"
"2760","T3D3025","rapidlyabsorbedfollowingparenteraladministration"
"2761","T3D3027","levomethadylacetateisrapidlyabsorbedfromanoralsolution"
"2762","T3D3028","levodopaisrapidlyabsorbedfromtheproximalsmallintestinebythelargeneutralaminoacidtransportcarriersystem"
"2763","T3D3029","rapidlyabsorbedintocirculationviathelungs"
"2764","T3D3029","howeversolubilityinthebloodislow"
"2765","T3D3030","wellabsorbedinthedigestivetract"
"2766","T3D3031","oral"
"2767","T3D3031","intramuscularinjectionincompletebioavailability"
"2768","T3D3032","wellabsorbedfromthegitractfollowingoraladministrationbioavailabilityisapproximately50%orallyduetoextensivefirst-passmetabolismbioavailabilityisnotaffectedbyfoodpeakplasmaconcentrationsoccurred2-6hoursfollowingoraladministrationofasingle50mgdosethepeakplasmaconcentrationrangedfrom56ng/mlto154mg/mltherearelargeinterindividualvariationsinplasmaconcentrationsoccur"
"2769","T3D3032","partlyduetogeneticdifferencesinclomipraminemetabolismonaverage"
"2770","T3D3032","steadystateplasmaconcentrationsareachievedin1-2weeksfollowingmultipledoseoraladministrationsmokingappearstolowerthesteady-stateplasmaconcentrationofclomipramine"
"2771","T3D3032","butnotitsactivemetabolitedesmethylclomipramine"
"2772","T3D3033","wellabsorbedfromthegastrointestinaltract"
"2773","T3D3035","posaconazoleisabsorbedwithamediantmaxofapproximately3to5hours"
"2774","T3D3036","fosphenytoiniscompletelybioavailablefollowinglmadministration"
"2775","T3D3038","rapidlyabsorbedfollowingoraladministrationparenteral"
"2776","T3D3039","oral"
"2777","T3D3040","oral"
"2778","T3D3040","parenteral85%"
"2779","T3D3041","oral"
"2780","T3D3041","parentalmethotrimeprazinehasanincompleteoralbioavailability"
"2781","T3D3041","becauseitundergoesconsiderablefirst-pass-metabolismintheliveroralbioavailabilityisapproximately50to60%"
"2782","T3D3046","oral"
"2783","T3D3047","50%"
"2784","T3D3048","bioavailabilityis84%followingoraladministrationthetimetopeakplasmalevelis1-4hoursbromazepamisgenerallywellabsorbedafteroraladministration"
"2785","T3D3049","oral"
"2786","T3D3051","oralbioavailabilityisover75%"
"2787","T3D3052","methamphetamineisrapidlyabsorbedfromthegastrointestinaltractwithpeakmethamphetamineconcentrationsoccurringin313to63hourspostingestionmethamphetamineisalsowellabsorbedfollowinginhalationfollowingintranasaladministrationitisdistributedtomostpartsofthebodybecausemethamphetaminehasahighlipophilicityitisdistributedacrossthebloodbrainbarriercrossestheplacenta"
"2788","T3D3054","oral"
"2789","T3D3055","bioavailabilityis29-35%followingoraladministration"
"2790","T3D3056","bioavailabilityfollowingoraladministrationis90-100%"
"2791","T3D3057","bioavailabilityis53-94%followingoraladministration"
"2792","T3D3060",NA
"2793","T3D3062","clinicalstudieswithradiolabeledointmentindicatethatapproximately6%whenappliedtonormalskin"
"2794","T3D3063","absorbedfollowingoraladministration"
"2795","T3D3064","oral"
"2796","T3D3066","oral"
"2797","T3D3066","ophthalmictmax"
"2798","T3D3066","aftersingledose"
"2799","T3D3066","opthalmic=12hours"
"2800","T3D3066","cmax"
"2801","T3D3066","15%"
"2802","T3D3066","opthalmicdose=73&#177"
"2803","T3D3066","19ng/ml"
"2804","T3D3066","after24hourspost-installation"
"2805","T3D3066","levelsofbepotastinearebelowquantifiablelimitof2ng/mlminimalsystemicabsorptionwithopthalmicdosageform"
"2806","T3D3067",NA
"2807","T3D3068","verylimitedpenetrationthroughtheskinonlywhenappliedtoverylargeareaburnsisabsorptionintothebodygenerallyanissue"
"2808","T3D3069","oral"
"2809","T3D3070","ingestion"
"2810","T3D3071","ingestion"
"2811","T3D3072","ingestion"
"2812","T3D3073","ingestion"
"2813","T3D3074","oral"
"2814","T3D3075","oral"
"2815","T3D3076","oral"
"2816","T3D3077","oral"
"2817","T3D3078","oral"
"2818","T3D3079","oral"
"2819","T3D3081","oral"
"2820","T3D3082","oral"
"2821","T3D3083","oral"
"2822","T3D3084","oral"
"2823","T3D3085","oral"
"2824","T3D3086","oral"
"2825","T3D3087","oral"
"2826","T3D3087","dermal"
"2827","T3D3087","inhalation"
"2828","T3D3087","parenteral"
"2829","T3D3088","injestionordermalcontact"
"2830","T3D3089","oral"
"2831","T3D3090","oral"
"2832","T3D3091","oral"
"2833","T3D3092","oral"
"2834","T3D3094","oral"
"2835","T3D3095","oralabsorbedtotallycompletelybysublingualadministrationaswellasoraladministration"
"2836","T3D3096","oral"
"2837","T3D3097","injection"
"2838","T3D3098","injection"
"2839","T3D3099","injection"
"2840","T3D3101","oral"
"2841","T3D3102","oral"
"2842","T3D3103","oral"
"2843","T3D3104","oral"
"2844","T3D3105","ingestionbioavailabilityiscloseto100%"
"2845","T3D3106","ingestionrapidlyabsorbedorallywithgreaterthan60%bioavailabilitypeakplasmalevelsareattained1to3hoursfollowingoraladministration"
"2846","T3D3107","ingestionabsorbedslowlyfromthegastrointestinaltract"
"2847","T3D3108","oral"
"2848","T3D3114","oral"
"2849","T3D3121","oral"
"2850","T3D3123","oral"
"2851","T3D3124","oral"
"2852","T3D3125","oral"
"2853","T3D3126","oral"
"2854","T3D3127","oral"
"2855","T3D3128","oral"
"2856","T3D3129","oral"
"2857","T3D3201","dermal"
"2858","T3D3204","dermal"
"2859","T3D3204","inhalation"
"2860","T3D3209","dermal"
"2861","T3D3214","oral"
"2862","T3D3216","inhalation"
"2863","T3D3224","oral"
"2864","T3D3230","dermal"
"2865","T3D3231",NA
"2866","T3D3233","inhalation"
"2867","T3D3233","ingestion"
"2868","T3D3233","dermal"
"2869","T3D3233","ocular"
"2870","T3D3241","oral"
"2871","T3D3268","oral"
"2872","T3D3426","inhalation"
"2873","T3D3427","inhalation"
"2874","T3D3428","oral"
"2875","T3D3429","oral"
"2876","T3D3430","oral"
"2877","T3D3431","oral"
"2878","T3D3432","oral"
"2879","T3D3433","oral"
"2880","T3D3434","oral"
"2881","T3D3435","oral"
"2882","T3D3436","oral"
"2883","T3D3437","oral"
"2884","T3D3438","oral"
"2885","T3D3439","oral"
"2886","T3D3440","oral"
"2887","T3D3441","oral"
"2888","T3D3442","oral"
"2889","T3D3443","oral"
"2890","T3D3444","oral"
"2891","T3D3445","oral"
"2892","T3D3446","oral"
"2893","T3D3447","oral"
"2894","T3D3448","oral"
"2895","T3D3449","oral"
"2896","T3D3450","oral"
"2897","T3D3451","oral"
"2898","T3D3452","oral"
"2899","T3D3453","oral"
"2900","T3D3454","oral"
"2901","T3D3455","oral"
"2902","T3D3456","oral"
"2903","T3D3457","oral"
"2904","T3D3458","oral"
"2905","T3D3459","oral"
"2906","T3D3460","oral"
"2907","T3D3461","oral"
"2908","T3D3462","oral"
"2909","T3D3463","oral"
"2910","T3D3464","oral"
"2911","T3D3465","oral"
"2912","T3D3466","oral"
"2913","T3D3467","oral"
"2914","T3D3468","oral"
"2915","T3D3469","oral"
"2916","T3D3470","oral"
"2917","T3D3471",NA
"2918","T3D3474",NA
"2919","T3D3476","poorlyabsorbedfromthegastrointestinaltractduetoitslowaqueoussolubilityoralbioavailabilityappearstobeenhancedwhencoadministeredwithafattymeal"
"2920","T3D3477","approximately80-90%absorbedfromthegastrointestinaltract"
"2921","T3D3480","approximately50%ofanoraldoseisabsorbedfromthegastrointestinaltract"
"2922","T3D3480","theremainderbeingexcretedunchangedinthefeces"
"2923","T3D3483","theamountofdrugabsorbedafteranoraldoseisapproximately3%"
"2924","T3D3487","minimalsystemicabsorptionoccursafterocularinsertionwhenthetopicalgelwasappliedtoadultpatientswithfacialerythemaassociatedwithrosacea"
"2925","T3D3487","theplasmamaximumconcentrationwere46&#177"
"2926","T3D3487","62pg/ml417&#177"
"2927","T3D3487","264pghr/ml"
"2928","T3D3487","respectivelythesevalueswerereachedonday15oftreatment"
"2929","T3D3491","oral"
"2930","T3D3492","rapidlyabsorbedfollowingoraladministration"
"2931","T3D3495","eyecontact"
"2932","T3D3495","parenteral"
"2933","T3D3495","oralrapidlywellabsorbedfromthegastrointestinaltractafteroraladministrationtheabsolutebioavailabilityisapproximately70%withnosubstantiallossbyfirstpassmetabolism"
"2934","T3D3497","oral"
"2935","T3D3497","topical"
"2936","T3D3497","parenteraltheconcomitantintakeoffooddoesnotappreciablymodifytheserumconcentrations"
"2937","T3D3497","serumlevelshavebeenuniformpredictablefrompersontopersondosetodoseclindamycindoesnotpenetratethebloodbrainbarrier"
"2938","T3D3498","theabsorptionofcyclosporinefromthegastrointestinaltractisincompletevariabletheextentofabsorptionisdependentontheindividualpatient"
"2939","T3D3498","thepatientpopulation"
"2940","T3D3498","theformulationtheabsolutebioavailabilityofcyclosproineadministeredassimmune&#8482"
"2941","T3D3498","isdependentonthepatientpopulation"
"2942","T3D3498","estimatedtobelessthan10%inlivertransplantpatientsasgreatas89%insomerenaltransplantpatientscomparedtoanintravenousinfusion"
